,
,
,
5 min ,"AMRAP 10 reps (Curls (do 20 reps of curls bc of light weight)
Suicide Push Ups
Mtn Climbers 2-1
Dips or Triceps Ext)"
1 min,cardio
1 min,rest
5 min ,"AMRAP 10 reps (Push Ups
Single Arm Row (both weights in one hand)
Wide Grip Push Ups
Reverse Flys
In and Out Push Ups (push up, feet in then out, push up))"
1 min,cardio
1 min,rest
5 min ,"AMRAP 10 reps (Alt Military Press 2=1
Side Raise
Front Row
Cheerleaders (up, out down, back up in and down motion)
Squat to OH Press)"
1 min,cardio
1 min,rest
5 min ,"AMRAP 10 reps (Plank w/ Dumbbell Reach and pull through
Mason Twists
Straight Leg Raise
Full Body Sit Up
Weighted Wiper (5 lbs max. or no weight) Protect Form Please)"
1 min,cardio
1 min,rest
,
30 sec,Star Jumps
10 sec,rest
30 sec,"Body Chops (3 left, 3 right)"
10 sec,rest
30 sec,Squat Jumps
10 sec,rest
30 sec,Mountain Jacks (tall plank
10 sec,rest